Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1573857326.4986308,63968,729,304317880,/os1_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0011984224905356572,-0.04567321269485893,0.010519486305812991,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,-1.6519991455078125,1.5370774658203123,8.492233288574218,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1573857326.5087407,63969,729,314317620,/os1_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0031957933080950856,0.0027963191445832,0.010253170196805066,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,-1.467645617675781,1.5969325073242187,8.252813122558594,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1573857326.5186434,63970,729,324317480,/os1_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0033289513625990473,0.06005428258128682,0.005193164125654515,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,-2.1930887207031247,1.5107412475585937,8.13310303955078,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1573857326.5286326,63971,729,334317460,/os1_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.010120012142301104,0.052464273474560986,0.0066579027251980945,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,-3.1771056030273437,1.4245499877929686,8.420407238769531,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1573857326.5385325,63972,729,344317480,/os1_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.013049489341388266,-0.0007989483270237714,0.008921589651765448,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,-3.0645781249999997,1.35990654296875,8.269572534179687,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1573857326.5486178,63973,729,354317730,/os1_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.006524744670694133,-0.04394215798630743,0.011451592687340723,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,-2.059013427734375,1.4796166259765624,8.291120349121094,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1573857326.5593014,63974,729,364317880,/os1_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.006791060779702058,-0.01251685712337242,0.011851066850852611,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,-1.5035586425781249,1.5011644409179687,8.633491186523438,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1573857326.5813694,63975,729,374317480,/os1_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.010253170196805066,0.04487426436783516,0.00905474770626941,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,-1.9393033447265624,1.5729904907226562,8.298302954101562,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1573857326.5819197,63976,729,384317670,/os1_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.015313176267955617,0.05060006071150552,0.008788431597261486,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,-2.925714428710937,1.6041151123046875,8.422801440429687,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1573857326.5887005,63977,729,394317500,/os1_imu,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.015046860158947694,0.01251685712337242,0.011717908796348646,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,-3.0023288818359375,1.7836802368164062,8.501810095214843,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
